fecha,tipo_servicio,nombre_servicio,puntuacion,comentario,idioma
2020-06-20,Ruta,HPE Innovation Hub - Alletra City,5,Experiencia inolvidable. transporte cómodo. Lo mejor: puntos de interés fascinantes.,
2021-04-18,Servicio,Inversiones Sebastián S.Com. Tour Guiado,5,¡Servicio excelente! gran variedad de opciones. servicio rápido. Volveré sin duda.,
2024-06-07,Hotel,Aruba Luxury Lodge,3,"Aceptable, pero con margen de mejora. personal poco amable.",
2023-07-31,Servicio,Restauración SL S.L.L. Atracción,5,¡¡¡QUÉ INCREÍBLE EXPERIENCIA CON RESTAURACIÓN SL S.L.L. ATRACCIÓN!!! ¡LES DOY 5/5 ESTRELLAS SIN DUDARLO NI UN SEGUNDO! 😍✨ ¡DESDE EL MOMENTO EN QUE LLEGUÉ TODO FUE PERFECTO! ¡LA ACCESIBILIDAD ES DE PRIMER NIVEL! 🚗♿️ HAY AMPLIO ESTACIONAMIENTO RAMPAS EN TODAS LAS ENTRADAS Y BAÑOS ADAPTADOS PARA PERSONAS CON MOVILIDAD REDUCIDA. ¡ME SENTÍ INCREÍBLEMENTE BIENVENIDO Y CÓMODO! 🙌 ¡LAS INSTALACIONES SON SIMPLEMENTE ESPECTACULARES! 💖 TODO ESTÁ IMPECABLE MODERNO Y MUY BIEN CUIDADO. ¡EL AMBIENTE ES TAN ACOGEDOR QUE TE SIENTES COMO EN CASA! 🏡✨ Y HABLANDO DE CASA ¡EL PERSONAL ES LO MÁS! 😊 ¡MARÍA UNA DE LAS EMPLEADAS FUE TAN AMABLE Y ATENTA QUE ME HIZO SENTIR ESPECIAL! ¡SIEMPRE ESTABA DISPUESTA A,
2020-11-17,Servicio,Industrias EGVE S.Coop. Restaurante,3,"Experiencia promedio. gran variedad de opciones, aunque mala relación calidad-precio.",
2023-04-27,Servicio,Mir & Asociados S.L. Restaurante,2,Bastante decepcionante. personal poco profesional. Esperaba más.,
2024-09-13,Ruta,Nimble Peak - ProLiant Village,3,"Ruta aceptable. bien organizada, pero guía poco informado.",
2024-07-02,Hotel,Alletra Haven,5,Experiencia increíble. instalaciones modernas. Lo mejor: desayuno delicioso.,
2020-07-28,Servicio,Banco Segovia & Asociados S.L.N.E Museo,5,¡Qué experiencia tan increíble en Banco Segovia & Asociados S.L.N.E Museo! Desde el primer momento todo fue impecable. La eficiencia del servicio es digna de elogio; no tuve que esperar mucho tiempo para ser atendido y todo el proceso fue rápido y sin complicaciones. Las instalaciones son modernas limpias y muy bien organizadas lo que hace que la visita sea aún más agradable. Además el personal es simplemente excepcional. Todos fueron amables atentos y dispuestos a ayudar en todo momento. Me sentí muy bien atendido y valorado como cliente. Un consejo para otros clientes: lleguen con tiempo suficiente para disfrutar de todo lo que ofrece el lugar. No se preocupen si tienen dudas el personal está ahí para resolverlas con una sonrisa. Definitivamente recomiendo este servicio a cualquiera que busque una experiencia de calidad. ¡5 estrellas sin duda! Gracias Banco Segovia & Asociados por hacer que mi visita sea tan especial. Volveré sin dudarlo.,
2023-10-02,Hotel,Apollo Towers,5,¡Mi experiencia en el Apollo Towers fue simplemente increíble! Desde el momento en que llegué me sentí como en casa. El desayuno fue un verdadero deleite: una amplia variedad de opciones desde frutas frescas y yogures hasta platos calientes como huevos revueltos y salchichas. Todo estaba preparado con esmero y presentado de manera impecable. Definitivamente un gran comienzo para cada día de mi estancia. La ubicación del hotel es perfecta. Está situado en una zona tranquila pero a pocos minutos a pie de los principales puntos de interés como tiendas restaurantes y transporte público. Fue muy conveniente para explorar la ciudad sin preocupaciones. Además las vistas desde mi habitación eran impresionantes especialmente al atardecer. En cuanto a la comodidad no tengo quejas. La cama era extremadamente cómoda con sábanas suaves y almohadas mullidas que garantizaron noches de sueño reparador. La habitación estaba impecablemente limpia y bien decorada con un ambiente acogedor que hizo que mi estancia fuera aún más placentera. Las instalaciones del hotel también merecen una mención especial. La piscina era un oasis de relajación y el gimnasio,
2020-09-13,Ruta,Nimble Peak - Aruba Central,4,Ruta recomendable. vistas impresionantes. Disfrutamos mucho.,
2019-01-20,Servicio,Grupo Antón S.L. Restaurante,2,Bastante decepcionante. mala relación calidad-precio. Esperaba más.,
2021-10-25,Ruta,Aruba Central - Simplivity Springs,1,Ruta decepcionante. transporte incómodo. No la recomiendo.,
2021-04-06,Ruta,Alletra City - GreenLake Shores,4,Mi experiencia en la ruta turística 'Alletra City - GreenLake Shores' fue muy satisfactoria aunque con algunos detalles que podrían mejorar. En cuanto a la accesibilidad el recorrido está bien señalizado y cuenta con rampas y áreas adaptadas para personas con movilidad reducida lo que facilita el acceso a los principales puntos de interés. Sin embargo noté que algunos senderos alrededor del lago podrían estar mejor mantenidos especialmente después de días de lluvia ya que se forman charcos que dificultan el paso. El transporte fue bastante eficiente con autobuses regulares que conectan Alletra City con GreenLake Shores. Los horarios son puntuales y los vehículos están en buen estado aunque en horas pico noté que los buses se llenan bastante lo que puede resultar incómodo. Recomiendo planificar el viaje temprano en,
2023-06-10,Ruta,ProLiant Village - GreenLake Shores,2,Ruta poco interesante. demasiado larga. Esperaba más.,
2021-11-23,Ruta,ProLiant Village - GreenLake Shores,3,"Ruta aceptable. guía muy informativo, pero demasiado larga.",
2020-01-19,Hotel,ProLiant Haven,4,Buena estancia en general. instalaciones modernas. Solo el check-out podría ser más tarde.,
2023-04-26,Hotel,Alletra Boutique Hotel,2,Bastante decepcionante. ruido excesivo. Esperaba mucho más.,
2022-06-03,Ruta,HPE Innovation Hub - Alletra City,4,Ruta recomendable. bien organizada. Disfrutamos mucho.,
2019-06-13,Ruta,Apollo Heights - Nimble Peak,3,"Experiencia promedio. bien organizada, aunque demasiado larga.",
2023-07-28,Servicio,Familia Múgica S.L. Transporte,5,Experiencia increíble. gran variedad de opciones. Lo mejor: excelente relación calidad-precio.,
2022-05-16,Ruta,Alletra City - Aruba Central,4,Buena ruta en general. vistas impresionantes. Solo hubo un pequeño retraso al inicio.,
2021-02-28,Hotel,Alletra Haven,5,Experiencia increíble. instalaciones modernas. Lo mejor: habitaciones cómodas.,
2021-09-20,Servicio,Comercializadora del Norte S.L.L. Museo,1,Experiencia horrible. mala relación calidad-precio. Nunca más.,
2023-10-07,Ruta,Alletra City - ProLiant Village,4,¡Qué experiencia tan increíble fue recorrer la ruta turística 'Alletra City - ProLiant Village'! Le doy 4/5 estrellas porque en general fue una aventura que valió mucho la pena. El valor de la ruta es excelente ya que ofrece paisajes impresionantes y una mezcla perfecta entre naturaleza y cultura local. Además el precio es muy accesible para todo lo que incluye como las paradas en puntos clave y las explicaciones históricas que recibimos en el camino. La señalización fue bastante buena en la mayoría del trayecto lo que hizo que fuera fácil seguir la ruta sin perderse. Sin embargo hubo un par de tramos donde las indicaciones no estaban tan claras especialmente cerca de ProLiant Village lo que nos hizo dar un pequeño rodeo. Aun así esto no arruinó la experiencia,
2024-07-21,Servicio,Sola y asociados S.Com. Restaurante,5,¡Mi experiencia en 'Sola y Asociados S.Com. Restaurante' fue simplemente increíble y merece una calificación de 5/5 estrellas sin duda alguna! Desde el momento en que entré el personal me recibió con una sonrisa cálida y genuina lo que hizo que me sintiera como en casa. La actitud del equipo fue impecable: atentos amables y siempre dispuestos a ayudar sin resultar invasivos. En particular quiero destacar a María quien nos atendió durante la cena. Su comunicación fue clara amable y llena de detalles sobre los platos lo que nos ayudó a tomar decisiones informadas y disfrutar al máximo de la experiencia. El ambiente del restaurante es acogedor y elegante pero lo que realmente marca la diferencia es la calidad del servicio. En un momento dado mencioné que era alérgico a un ingrediente y no solo tomaron nota de inmediato sino que también el chef personalizó mi plato para asegurarse de que fuera seguro y delicioso. Este nivel de atención al detalle y cuidado por el cliente es algo que no se encuentra en cualquier lugar. Para otros clientes que estén considerando visitar 'Sola y Asociados S.Com. Restaurante' les recomendaría reservar con anticipación ya que es un,
2019-07-24,Servicio,Soluciones RYD S.L.L. Transporte,2,Servicio deficiente. largas esperas. Necesita mejorar mucho.,
2020-09-19,Servicio,Requena & Asociados S.C.P Parque,5,Experiencia increíble. instalaciones impecables. Lo mejor: servicio rápido.,
2023-08-29,Ruta,HPE Innovation Hub - ProLiant Village,2,Por debajo de las expectativas. demasiado larga. Hay mejores opciones.,
2023-05-08,Servicio,Noemí Ramírez Falcón S.A. Atracción,2,Bastante decepcionante. instalaciones descuidadas. Esperaba más.,
2020-11-03,Hotel,Apollo Executive Beach Resort,5,Experiencia increíble. desayuno delicioso. Lo mejor: desayuno delicioso.,
2024-05-04,Servicio,Pablo y Roda S.Com. Atracción,4,Experiencia agradable. excelente relación calidad-precio. Recomendable.,
2022-01-15,Ruta,ProLiant Village - GreenLake Shores,3,"Ruta aceptable. transporte cómodo, pero transporte incómodo.",
2019-12-17,Hotel,Alletra Boutique Hotel,4,Mi estancia en el *Alletra Boutique Hotel* fue muy agradable en general. Le doy 4/5 estrellas porque hay cosas que destacar y otras que podrían mejorar. Las habitaciones son amplias y cómodas perfectas para relajarse después de un día de turismo. Me encantó que tuviera una pequeña zona de estar con un sofá lo cual es un detalle que no siempre encuentras en otros hoteles. En cuanto a las amenidades todo estaba en buen estado: el baño tenía productos de calidad y la ducha tenía buena presión. Sin embargo el wifi era un poco lento en algunas ocasiones lo cual fue un poco frustrante. La limpieza fue impecable; la habitación y las áreas comunes siempre estaban relucientes. Un detalle que me gustó mucho fue el desayuno buffet que incluía,
2024-08-25,Servicio,Fernandez & Asociados S.A. Transporte,4,Buen servicio en general. instalaciones impecables. Solo un detalle del menú no estaba disponible.,
2022-03-07,Hotel,ProLiant Haven,4,Experiencia agradable. habitaciones cómodas. Recomendable.,
2020-03-17,Ruta,GreenLake Shores - Composable Cloud,3,"Experiencia promedio. guía muy informativo, aunque demasiado larga.",
2020-02-01,Ruta,HPE Innovation Hub - ProLiant Village,5,¡Oh qué experiencia *inolvidable*! El 'HPE Innovation Hub - ProLiant Village' es sin duda el destino turístico más *emocionante* que he tenido el placer de visitar... ¿Quién necesita paisajes naturales cuando puedes deleitarte con el *espectacular* panorama de servidores y racks de almacenamiento? La 'vista' desde el centro del data center es simplemente... bueno *abrumadora*. ¡Y no te preocupes por la dificultad del recorrido! Es tan *desafiante* como caminar por un pasillo bien iluminado... aunque claro si te pierdes entre los cables de red podrías necesitar un mapa. En cuanto a la accesibilidad ¡qué decir! Es tan *inclusivo* que incluso tu abuela en silla de ruedas podría disfrutar de la experiencia... siempre y cuando no intente conectar un servidor claro. Mi momento favorito fue cuando el guía nos explicó con *entusiasmo desbordante* cómo un ProLiant puede cambiar tu vida... porque ¿quién no sueña con eso? Un consejo para los futuros viajeros: no olviden llevar su propia botella de agua... porque aunque el aire acondicionado del data center es *refrescante* no hay fu,
2020-10-21,Hotel,InfoSight Boutique Hotel,4,Experiencia agradable. habitaciones cómodas. Recomendable.,
2021-08-06,Servicio,Farmaceútica del Norte S.A. Tour Guiado,3,"Servicio aceptable. servicio rápido, pero personal poco profesional.",
2020-11-25,Hotel,Aruba Lodge,5,Experiencia increíble. excelente ubicación. Lo mejor: personal amable.,
2022-02-13,Hotel,Apollo Executive Beach Resort,4,Buena estancia en general. habitaciones cómodas. Solo faltaban algunas comodidades menores.,
2023-04-07,Ruta,Apollo Heights - Composable Cloud,5,Experiencia inolvidable. guía muy informativo. Lo mejor: guía muy informativo.,
2019-03-29,Hotel,Primera Grand,4,Experiencia agradable. excelente ubicación. Recomendable.,
2021-01-17,Ruta,Ezmeral Valley - Composable Cloud,4,¡Qué experiencia tan increíble en la ruta turística 'Ezmeral Valley - Composable Cloud'! Le doy 4/5 estrellas porque aunque fue maravillosa hubo algunos detalles que podrían mejorar. La accesibilidad fue bastante buena con senderos bien señalizados y opciones para personas con movilidad reducida aunque en algunas partes el terreno era un poco irregular. Respecto a las multitudes no estuvo tan lleno como esperaba lo cual fue genial para disfrutar de las vistas sin aglomeraciones pero en ciertos puntos clave sí se notaba algo de congestión especialmente en el mirador principal. Las atracciones fueron impresionantes: los paisajes montañosos y los bosques nublados son de ensueño. Lo que más me gustó fue el momento en que llegamos a la cascada escondida ¡un lugar m,
2020-09-15,Hotel,Alletra Boutique Hotel,5,Excelente hotel. excelente ubicación. excelente ubicación. ¡Volveré seguro!,
2019-01-23,Ruta,Apollo Heights - Nimble Peak,4,¡Qué experiencia increíble la ruta 'Apollo Heights - Nimble Peak'! Le doy 4/5 estrellas porque aunque tiene algunos detalles en general es una caminata que vale muchísimo la pena. La accesibilidad es bastante buena aunque hay algunos tramos un poco empinados que podrían ser un desafío para personas con movilidad reducida. Sin embargo si estás en buena forma física no tendrás problemas. La señalización es clara y está bien mantenida lo que hace que sea difícil perderse aunque siempre es recomendable llevar un mapa por si acaso. El paisaje es simplemente espectacular. Desde los bosques frondosos hasta las vistas panorámicas desde Nimble Peak cada paso del camino te deja sin aliento. La duración de la ruta es perfecta para una excursión de un día: tardamos unas 5 horas en completarla,
2021-04-01,Hotel,Aruba Lodge,5,Mi experiencia en el Aruba Lodge fue simplemente excepcional y merece una calificación de 5/5 estrellas sin duda alguna. Desde el momento en que llegué me sentí bienvenido y atendido con calidez. El desayuno fue uno de los puntos más destacados de mi estancia: ofrecían una variedad increíble de opciones desde frutas frescas y yogures hasta platos calientes como huevos al gusto y pancakes caseros. Todo estaba preparado con esmero y se notaba la calidad de los ingredientes. Además el café recién hecho era simplemente delicioso y me ayudó a empezar cada mañana con energía. En cuanto al valor el Aruba Lodge superó mis expectativas. Por el precio que pagué recibí un servicio y unas comodidades que normalmente esperaría en hoteles mucho más caros. La habitación era espaciosa limpia y estaba decorada con un toque moderno y acogedor. El nivel de ruido fue mínimo durante toda mi estancia lo que me permitió descansar profundamente. Incluso estando cerca de áreas comunes nunca escuché sonidos molestos algo que realmente valoré. Quiero destacar especialmente a Juan un miembro del personal que hizo mi estancia aún más especial. Siempre estaba dispuesto a ayudar ya,
2020-07-05,Ruta,Alletra City - GreenLake Shores,4,Ruta recomendable. transporte cómodo. Disfrutamos mucho.,
2023-04-19,Servicio,Industrias EGVE S.Coop. Restaurante,3,El restaurante de Industrias EGVE S.Coop. tiene instalaciones limpias y funcionales aunque un poco anticuadas. El ambiente es sencillo sin muchos detalles que lo hagan destacar. En cuanto al personal la atención fue correcta pero noté cierta falta de amabilidad en algunos momentos lo que restó un poco a la experiencia. Por ejemplo al pedir una recomendación del menú la respuesta fue breve y sin mucho entusiasmo. La comida es aceptable pero no sobresale. Mi consejo para otros clientes es que vayan con expectativas moderadas y si buscan un servicio más cálido quizás sea mejor comunicar claramente,
2024-12-15,Ruta,Aruba Central - Simplivity Springs,3,"Ruta aceptable. transporte cómodo, pero demasiado larga.",
2019-12-08,Ruta,Apollo Heights - Nimble Peak,3,"Experiencia promedio. transporte cómodo, aunque puntos de interés cerrados.",
2019-03-21,Hotel,Aruba Luxury Lodge,4,Buena estancia en general. personal amable. Solo el check-out podría ser más tarde.,
2021-03-13,Hotel,dHCI Executive Boutique Hotel,5,Excelente hotel. habitaciones cómodas. personal amable. ¡Volveré seguro!,
2024-07-07,Hotel,Apollo Towers,4,Buena estancia en general. excelente ubicación. Solo el check-out podría ser más tarde.,
2022-04-21,Servicio,Eric Landa Chaparro S.A.U Restaurante,4,Buen servicio en general. servicio rápido. Solo pequeño malentendido con la reserva.,
2023-03-28,Ruta,Nimble Peak - ProLiant Village,2,Ruta poco interesante. mal organizada. Esperaba más.,
2023-06-16,Ruta,GreenLake Shores - Alletra City,4,Buena ruta en general. vistas impresionantes. Solo un punto de interés estaba en renovación.,
2021-01-06,Ruta,Ezmeral Valley - Composable Cloud,4,[Error: Could not generate text due to API failure],
2019-05-09,Hotel,Ezmeral Grand Hotel,1,Pésima experiencia. ruido excesivo. No lo recomiendo en absoluto.,
2024-04-12,Servicio,Banco Mendez S.Com. Restaurante,2,Bastante decepcionante. falta de opciones. Esperaba más.,
2020-05-28,Hotel,Cray Villas,3,"Experiencia promedio. personal amable, pero ruido excesivo.",
2023-04-15,Hotel,Cray Villas,2,Bastante decepcionante. desayuno de baja calidad. Esperaba mucho más.,
2020-11-29,Hotel,GreenLake Platinum Heritage Inn,4,Buena estancia en general. personal amable. Solo el check-out podría ser más tarde.,
2020-12-21,Ruta,Composable Cloud - Apollo Heights,3,La ruta turística 'Composable Cloud - Apollo Heights' ofrece una experiencia mixta. El paisaje es impresionante con vistas panorámicas de montañas y nubes que parecen tocar el cielo especialmente al amanecer. Sin embargo el camino puede estar bastante concurrido sobre todo los fines de semana lo que dificulta disfrutar plenamente de la tranquilidad del lugar. En cuanto a la seguridad el sendero está bien señalizado pero algunas secciones tienen desniveles pronunciados y rocas sueltas por lo que es importante llevar calzado adecuado. La dificultad es moderada ideal para personas con algo de experiencia en senderismo,
2022-03-09,Hotel,Apollo Executive Beach Resort,5,Excelente hotel. instalaciones modernas. habitaciones cómodas. ¡Volveré seguro!,
2019-04-13,Ruta,Aruba Central - Apollo Heights,4,¡WOW WOW WOW! ¡La ruta turística 'Aruba Central - Apollo Heights' es una EXPERIENCIA INCREÍBLE que no te puedes perder si visitas Aruba!!! 😍✨ ¡Las atracciones son simplemente ESPECTACULARES! Desde los paisajes montañosos hasta las vistas panorámicas del océano ¡cada parada es una FOTO PERFECTA! 📸🌴 ¡Y no puedo olvidar mencionar el mirador en Apollo Heights donde el atardecer es de OTRO MUNDO! 🌅 ¡Sentí que estaba en una película! 🎥 En cuanto al valor ¡es TOTALMENTE RECOMENDABLE! 💸👍 Por el precio obtienes una experiencia completa con guías súper amables y bien informados que te cuentan historias fascinantes sobre la cultura y la historia de la,
2020-10-15,Ruta,Apollo Heights - Nimble Peak,1,Experiencia muy mala. mal organizada. Eviten esta ruta.,
2020-05-12,Ruta,GreenLake Shores - Composable Cloud,3,"Experiencia promedio. puntos de interés fascinantes, aunque demasiado larga.",
2022-12-24,Hotel,Ezmeral Grand Hotel,5,Experiencia increíble. habitaciones cómodas. Lo mejor: personal amable.,
2019-01-22,Ruta,Ezmeral Valley - Composable Cloud,4,Ruta recomendable. bien organizada. Disfrutamos mucho.,
2019-03-16,Servicio,Distribuciones Sala y asociados S.Coop. Tour Guiado,5,Experiencia increíble. instalaciones impecables. Lo mejor: excelente relación calidad-precio.,
2021-04-08,Servicio,Transportes Bou S.L. Restaurante,3,¡Vaya experiencia con Transportes Bou S.L. Restaurante! La accesibilidad es un desastre: el lugar no está bien señalizado y el estacionamiento es un caos total. ¡Qué estrés llegar ahí! Las instalaciones están decentes pero no son nada del otro mundo; esperaba algo más limpio y moderno. El tiempo de espera fue excesivo: ¡más de 40 minutos para que nos atendieran! Y eso que no estaba lleno. En cuanto al personal algunos fueron amables pero otros parecían estar de muy mal humor como si les molestara servirnos. En fin no fue lo peor pero definitivamente no repetir,
2024-07-03,Ruta,Ezmeral Valley - Simplivity Springs,5,Experiencia inolvidable. puntos de interés fascinantes. Lo mejor: guía muy informativo.,
2022-01-01,Hotel,Simplivity Golden Plaza Hotel,5,Excelente hotel. excelente ubicación. instalaciones modernas. ¡Volveré seguro!,
2024-07-11,Servicio,Farmaceútica EJ S.A.U Parque,5,¡Servicio excelente! servicio rápido. gran variedad de opciones. Volveré sin duda.,
2019-12-14,Servicio,Mir & Asociados S.L. Restaurante,2,Bastante decepcionante. falta de opciones. Esperaba más.,
2024-10-01,Servicio,Martín y asociados S.L.L. Transporte,4,Experiencia agradable. servicio rápido. Recomendable.,
2020-05-01,Ruta,Nimble Peak - HPE Innovation Hub,4,Buena ruta en general. puntos de interés fascinantes. Solo un punto de interés estaba en renovación.,
2021-04-26,Ruta,GreenLake Shores - Alletra City,4,Buena ruta en general. puntos de interés fascinantes. Solo un punto de interés estaba en renovación.,
2024-09-16,Hotel,ProLiant Haven,1,Servicio horrible. mala ubicación. Nunca volveré.,
